FET Vds-Id
VDS= 0 to -2 in -0.05 step
VG= 0 to -2 in -0.5 step
NO. VG VDS VS ID IS IG ISUB VSUB
 V V V A A A A V
220 -1 -1.3 0 -4.87218E-07 4.87238E-07 5E-14 6.9E-13 0
221 -1 -1.25 0 -4.86693E-07 4.86688E-07 -7.3E-13 7E-13 0
222 -1 -1.2 0 -4.86194E-07 4.86185E-07 7E-14 7E-13 0
223 -1 -1.15 0 -4.85653E-07 4.85633E-07 -5.4E-13 6.6E-13 0
224 -1 -1.1 0 -4.85089E-07 4.85121E-07 1.7E-13 6.8E-13 0
225 -1 -1.05 0 -4.84551E-07 4.84551E-07 -8.8E-13 6.5E-13 0
226 -1 -1 0 -4.8392E-07 4.8397E-07 1.3E-13 6.7E-13 0
227 -1 -0.95 0 -4.83372E-07 4.83328E-07 -8.1E-13 5.9E-13 0
228 -1 -0.9 0 -4.82768E-07 4.82771E-07 1.5E-13 5.9E-13 0
229 -1 -0.85 0 -4.8216E-07 4.82131E-07 -8.5E-13 6.7E-13 0
230 -1 -0.8 0 -4.81432E-07 4.81432E-07 2E-13 6.1E-13 0
231 -1 -0.75 0 -4.80751E-07 4.80763E-07 -7.2E-13 5.9E-13 0
232 -1 -0.7 0 -4.80072E-07 4.80115E-07 2.1E-13 5.9E-13 0
233 -1 -0.65 0 -4.79388E-07 4.79398E-07 -7.5E-13 5.6E-13 0
234 -1 -0.6 0 -4.78641E-07 4.78658E-07 3.2E-13 5.4E-13 0
235 -1 -0.55 0 -4.77795E-07 4.77861E-07 -7.1E-13 5.5E-13 0
236 -1 -0.5 0 -4.76992E-07 4.77011E-07 4E-13 5.9E-13 0
237 -1 -0.45 0 -4.76155E-07 4.76192E-07 -7.1E-13 5E-13 0
238 -1 -0.4 0 -4.75254E-07 4.75276E-07 1.8E-13 5.1E-13 0
239 -1 -0.35 0 -4.7429E-07 4.74309E-07 -9.2E-13 5.4E-13 0
240 -1 -0.3 0 -4.73189E-07 4.73218E-07 3.8E-13 5.1E-13 0
241 -1 -0.25 0 -4.71965E-07 4.72E-07 -8.1E-13 4.9E-13 0
242 -1 -0.2 0 -4.70254E-07 4.70262E-07 3.8E-13 3.7E-13 0
243 -1 -0.15 0 -4.66205E-07 4.66215E-07 -7.5E-13 4.7E-13 0
244 -1 -0.1 0 -4.49273E-07 4.49329E-07 1.1E-13 4.2E-13 0
245 -1 -0.05 0 -3.63482E-07 3.63547E-07 -6.4E-13 3.1E-13 0
246 -1 0 0 1.14573E-08 -1.14631E-08 -8E-13 -1E-14 0
247 -1.5 0 0 1.49085E-08 -1.43448E-08 -1.152E-11 3E-14 0
